run,PauseTime,repetition,Module,meanNbHops,nbDataPacketsForwarded,nbDataPacketsReceived,nbDataPacketsSent,nbSpdDrops
RandomWaypointMobility-SPD-A-28-20220312-12:47:41-16064,0,28,TARPNetwork.node[2].generic.np,0,334,0,0,277
RandomWaypointMobility-SPD-A-28-20220312-12:47:41-16064,0,28,TARPNetwork.node[0].generic.np,0,281,0,0,406
RandomWaypointMobility-SPD-A-28-20220312-12:47:41-16064,0,28,TARPNetwork.node[4].generic.np,0,478,0,0,226
RandomWaypointMobility-SPD-A-6-20220312-12:43:44-16064,0,6,TARPNetwork.node[1].generic.np,0,378,0,0,341
RandomWaypointMobility-SPD-A-6-20220312-12:43:44-16064,0,6,TARPNetwork.node[3].generic.np,0,440,0,0,349
RandomWaypointMobility-SPD-A-6-20220312-12:43:44-16064,0,6,TARPNetwork.node[2].generic.np,0,503,0,0,269
RandomWaypointMobility-SPD-A-6-20220312-12:43:44-16064,0,6,TARPNetwork.node[31].generic.np,0,491,0,0,325
RandomWaypointMobility-SPD-A-6-20220312-12:43:44-16064,0,6,TARPNetwork.node[32].generic.np,0,375,0,0,367
RandomWaypointMobility-SPD-A-6-20220312-12:43:44-16064,0,6,TARPNetwork.node[33].generic.np,0,262,0,0,389
RandomWaypointMobility-SPD-A-6-20220312-12:43:44-16064,0,6,TARPNetwork.node[26].generic.np,0,500,0,0,315
RandomWaypointMobility-SPD-A-6-20220312-12:43:44-16064,0,6,TARPNetwork.node[30].generic.np,0,573,0,0,306
RandomWaypointMobility-SPD-A-28-20220312-12:47:41-16064,0,28,TARPNetwork.node[5].generic.np,0,475,0,0,277
RandomWaypointMobility-SPD-A-28-20220312-12:47:41-16064,0,28,TARPNetwork.node[10].generic.np,0,512,0,0,321
RandomWaypointMobility-SPD-A-28-20220312-12:47:41-16064,0,28,TARPNetwork.node[11].generic.np,0,236,0,0,314
RandomWaypointMobility-SPD-A-28-20220312-12:47:41-16064,0,28,TARPNetwork.node[6].generic.np,0,347,0,0,325
RandomWaypointMobility-SPD-A-28-20220312-12:47:41-16064,0,28,TARPNetwork.node[7].generic.np,0,288,0,0,353
RandomWaypointMobility-SPD-A-6-20220312-12:43:44-16064,0,6,TARPNetwork.node[0].generic.np,0,520,0,0,320
